Company,Tweet Date,Focus,ARR/Revenue,Growth,Funding Round,Investors,Now Raising
Finch (@finchcareapp),2025-05-19,"Gamified self-care app, #7 on iOS Health & Fitness","~$4M/month revenue (~$48M ARR), extremely profitable","Best-in-class D30 retention (outperforming Duolingo, Calm, Headspace)","Bootstrapped, declining VC offers",None (declined VC funding),No
"Axiom Trading (@AxiomExchange, YC W25)",2025-05-16, #1 Solana trading interface,"~$3M fees/day (~$1.095B annualized), $83M since January, 50%+ net income",50–60% market share,Unspecified (likely raising),Not specified,Yes (implied)
Numeral (@NumeralTax),2025-05-15,Sales tax automation for e-commerce and SaaS,~$11M ARR,~3x YoY,Raising $30M Series B,"Previous $18M Series A led by Benchmark (@benchmark), with Y Combinator (@ycombinator), FundersClub (@FundersClub), Uncork Capital (@uncorkcap)",Yes
Wander,2025-05-07,Travel platform (Airbnb but for founders who sold secondaries),"~$40M GMV, ~$10M net","70% gross margin, +20% MoM","Confirmed $30M Series B, lead secured",Not specified (lead secured),No
Cursor (Anysphere),2025-05-05,AI-powered coding assistant,$500M ARR,~2.5x from March 2025,Closed $900M round at $9.9B post-money valuation (up from ~$600M at $9.6B),"Led by Thrive Capital, with Andreessen Horowitz (a16z), Accel, DST Global",No
Groww,2025-03-26,Leading Indian brokerage,"FY’23: $125M revenue, 30% EBITDA; FY’24: $300M revenue, 50% EBITDA; FY’25E: $450M revenue, ~60% EBITDA","~2.4x revenue from FY’23 to FY’24, ~1.5x from FY’24 to FY’25E",Closing $200M,GIC,Yes (closing soon)
FlyFlat,2025-03-06,Premium flight booking platform (books end-to-end for ~50% less than online prices),$17M ARR,"4x YoY, profitable",Closed $3M oversubscribed Seed round,"Led by Bessemer Venture Partners (@BessemerVP), with Slow Ventures (@slow), FJ Labs (@FjLabs), Jeffrey Wald (@Jeffreyw5000), Sergey Petrossov (@spetrossov), Noah Friedman (@noahsfriedman)",No
Zolve (@zolve_official),2024-05-20,Global credit card platform,$16.2M ARR,4x YoY,Raising Series B,Not specified,Yes
Sacheu (@sacheu),2024-05-19,Set and forget beauty brand,$24M revenue run-rate,"100%+ MoM, profitable",Raising (unspecified round),Not specified,Yes
Kiwi (kiwicredito.com),2024-05-19,Digital personal loans for Latin America,$7M revenue run-rate,Not specified,Raising $8M Series A,Not specified,Yes
EasyDMARC (@easydmarc),2024-05-19,AI-powered email security and deliverability solution,$5M ARR,3x YoY,Raising Series A,Not specified,Yes
Check (@check_hq),2024-05-19,Leading payroll platform,$8M ARR,2x YoY,Raising $25M (unspecified round),Not specified,Yes
Clay (@clayrunhq),2024-05-19,Data enrichment platform,$5M ARR,Not specified,Closed (unannounced) round at $500M post-money valuation,Led by Meritech Capital (@MeritechCapital),No
Pearl (hellopearl.com),2024-05-18,"Unspecified (likely tech, associated with @OphirTanz)",$10M ARR,"3.5x YoY, 72% gross margin",Closed Series B at $400M post-money valuation,Led by Left Lane Capital (@leftlanecap),No
ARB Interactive (arbinteractive.com),2024-05-18,Online gaming platform for North America,$423M estimated 2024 revenue,"100x YoY, profitable",Raising (unspecified round),Not specified,Yes
Legion (@legiontech),2024-05-18,Intelligent automation for workforce management,$40M (implied ARR or funding amount),Not specified,Closing Series D soon,Tier 1 (unspecified),Yes
Wonderschool (@wonderschools),2024-05-18,Platform for infant and toddler education,$30M committed ARR,Not specified,Raising (unspecified round),Not specified,Yes
QA Wolf (@QAWolfHQ),2024-05-18,Automated test coverage platform,$11M ARR,"2.5x YoY, 40–50% gross margin",Raising (unspecified round),Not specified,Yes
Huntress (@HuntressLabs),2024-05-18,"Endpoint, identity, and employee security",$80M ARR,70%+ YoY,Raising Series D,Not specified,Yes
Responsive (@responsiveio),2024-05-18,AI-driven RFP (request for proposal) software,$55M ARR,"30% YoY, profitable",Raising (unspecified round),Not specified,Yes
11x (11x.ai),2024-05-18,Unspecified (likely AI-related),$3M ARR in first 12 months,Not specified,Closed Series A at $90M post-money valuation,Led by Benchmark (@benchmark),No
